,country,year,donated,received,net_committed
68,Thailand,2000,0,1792837766,-1792837766
69,Thailand,2001,0,532323112,-532323112
70,Thailand,2002,0,1205361664,-1205361664
71,Thailand,2003,0,289796785,-289796785
72,Thailand,2004,0,722232350,-722232350
73,Thailand,2005,0,750726362,-750726362
74,Thailand,2006,0,475487975,-475487975
75,Thailand,2007,4469,246621101,-246616632
76,Thailand,2008,0,938244893,-938244893
77,Thailand,2009,0,1038513059,-1038513059
78,Thailand,2010,20992,560953853,-560932861
79,Thailand,2011,0,196842375,-196842375
80,Thailand,2012,0,333622409,-333622409
81,Thailand,2013,0,259915985,-259915985
82,Brazil,1973,0,312075045,-312075045
83,Brazil,1974,0,306601048,-306601048
84,Brazil,1975,0,100725686,-100725686
85,Brazil,1976,0,83580485,-83580485
86,Brazil,1977,0,501438883,-501438883
87,Brazil,1978,0,151531351,-151531351
88,Brazil,1979,0,167462062,-167462062
89,Brazil,1980,0,397591374,-397591374
90,Brazil,1981,0,1019510084,-1019510084
91,Brazil,1982,0,577695039,-577695039
92,Brazil,1983,0,129429939,-129429939
93,Brazil,1984,0,643593148,-643593148
94,Brazil,1985,0,1150188786,-1150188786
95,Brazil,1986,0,398238987,-398238987
96,Brazil,1987,0,688641987,-688641987
97,Brazil,1988,0,319508348,-319508348
98,Brazil,1989,0,470795753,-470795753
99,Brazil,1990,0,546410160,-546410160
100,Brazil,1991,0,1398521154,-1398521154
101,Brazil,1992,0,269771857,-269771857
102,Brazil,1993,0,726672442,-726672442
103,Brazil,1994,0,2807702721,-2807702721
104,Brazil,1995,0,2573830958,-2573830958
105,Brazil,1996,0,1902899155,-1902899155
106,Brazil,1997,0,2033092975,-2033092975
107,Brazil,1998,0,1758374210,-1758374210
108,Brazil,1999,0,1319316622,-1319316622
109,Brazil,2000,0,1106359401,-1106359401
110,Brazil,2001,0,1574635711,-1574635711
111,Brazil,2002,0,1545038937,-1545038937
112,Brazil,2003,0,779392718,-779392718
113,Brazil,2004,0,646604536,-646604536
114,Brazil,2005,0,723697976,-723697976
115,Brazil,2006,0,473262403,-473262403
116,Brazil,2007,50889,424596650,-424545761
117,Brazil,2008,168870,575890217,-575721347
118,Brazil,2009,0,783901399,-783901399
119,Brazil,2010,914681,1059210583,-1058295902
120,Brazil,2011,0,1013210831,-1013210831
121,Brazil,2012,0,2443208137,-2443208137
122,Brazil,2013,0,703048320,-703048320
123,Colombia,1973,0,549944785,-549944785
124,Colombia,1974,0,203545814,-203545814
125,Colombia,1975,0,145779156,-145779156
126,Colombia,1976,0,143082677,-143082677
127,Colombia,1977,0,67799905,-67799905
128,Colombia,1978,0,54438681,-54438681
129,Colombia,1979,0,15388003,-15388003
130,Colombia,1980,0,257368296,-257368296
131,Colombia,1981,0,176100059,-176100059
132,Colombia,1982,0,1228919949,-1228919949
133,Colombia,1983,0,110714529,-110714529
134,Colombia,1984,0,204495135,-204495135
135,Colombia,1985,0,835091486,-835091486
136,Colombia,1986,0,310212012,-310212012
137,Colombia,1987,0,74058995,-74058995
138,Colombia,1988,0,234020126,-234020126
139,Colombia,1989,0,200318505,-200318505
140,Colombia,1990,0,539309295,-539309295
141,Colombia,1991,0,484986642,-484986642
142,Colombia,1992,0,492185858,-492185858
143,Colombia,1993,0,648542403,-648542403
144,Colombia,1994,0,303016912,-303016912
145,Colombia,1995,0,586866583,-586866583
146,Colombia,1996,0,1052281529,-1052281529
147,Colombia,1997,0,94226174,-94226174
148,Colombia,1998,0,407763235,-407763235
149,Colombia,1999,0,881928095,-881928095
150,Colombia,2000,0,1899134643,-1899134643
151,Colombia,2001,0,585022135,-585022135
152,Colombia,2002,0,835264836,-835264836
153,Colombia,2003,0,1086177861,-1086177861
154,Colombia,2004,0,951773147,-951773147
155,Colombia,2005,0,1056910201,-1056910201
156,Colombia,2006,0,1617817757,-1617817757
157,Colombia,2007,77466,800292991,-800215525
158,Colombia,2008,6798,1190054198,-1190047400
159,Colombia,2009,0,1279008966,-1279008966
160,Colombia,2010,106531,1128442346,-1128335815
161,Colombia,2011,0,749156157,-749156157
162,Colombia,2012,0,1009768225,-1009768225
163,Colombia,2013,0,1039328005,-1039328005
164,Poland,1980,0,75000451,-75000451
165,Poland,1981,0,35410,-35410
166,Poland,1982,0,70326,-70326
167,Poland,1983,0,63282,-63282
168,Poland,1985,0,1014259163,-1014259163
169,Poland,1986,0,7204596,-7204596
170,Poland,1988,0,11464751,-11464751
171,Poland,1989,0,2608739881,-2608739881
172,Poland,1990,0,3069497876,-3069497876
173,Poland,1991,0,326279481,-326279481
174,Poland,1992,0,9141850218,-9141850218
175,Poland,1993,0,367250867,-367250867
176,Poland,1994,0,431842731,-431842731
177,Poland,1995,0,3376022477,-3376022477
178,Poland,1996,0,359200576,-359200576
179,Poland,1997,0,309290589,-309290589
180,Poland,1998,0,338026840,-338026840
181,Poland,1999,0,377114427,-377114427
182,Poland,2000,0,632761107,-632761107
183,Poland,2001,0,670468736,-670468736
184,Poland,2002,0,479506516,-479506516
185,Poland,2003,0,492707038,-492707038
186,Poland,2004,0,428513747,-428513747
187,Poland,2007,0,54102,-54102
188,Poland,2013,403184,0,403184
189,Korea,1973,0,1363706959,-1363706959
190,Korea,1974,0,1455639048,-1455639048
191,Korea,1975,0,299226023,-299226023
192,Korea,1976,0,938952566,-938952566
193,Korea,1977,0,418471898,-418471898
194,Korea,1978,0,801254989,-801254989
195,Korea,1979,0,146708076,-146708076
196,Korea,1980,0,2625763424,-2625763424
197,Korea,1981,0,1656173571,-1656173571
198,Korea,1982,0,216083049,-216083049
199,Korea,1983,0,665624126,-665624126
200,Korea,1984,0,891180603,-891180603
201,Korea,1985,0,907605958,-907605958
202,Korea,1986,0,119590826,-119590826
203,Korea,1987,0,482793059,-482793059
204,Korea,1988,0,438174916,-438174916
205,Korea,1989,0,233488453,-233488453
206,Korea,1990,0,1095572646,-1095572646
207,Korea,1991,0,39850875,-39850875
208,Korea,1992,0,3337566,-3337566
209,Korea,1993,0,3157283,-3157283
210,Korea,1994,0,1076359694,-1076359694
211,Korea,1995,0,3947605,-3947605
212,Korea,1996,0,369583888,-369583888
213,Korea,1997,0,1019452888,-1019452888
214,Korea,1998,0,10793650,-10793650
215,Korea,1999,0,5783774361,-5783774361
216,Korea,2000,0,444810035,-444810035
217,Korea,2001,0,864874549,-864874549
218,Korea,2002,0,657470006,-657470006
219,Korea,2003,0,117959852,-117959852
220,Korea,2004,0,142941011,-142941011
221,Korea,2006,331823583,0,331823583
222,Korea,2007,305841026,0,305841026
223,Korea,2008,57406444,0,57406444
224,Korea,2009,168844005,0,168844005
225,Korea,2010,9946450,0,9946450
226,Korea,2011,11082508,0,11082508
227,Korea,2012,16780372,0,16780372
228,Korea,2013,397323332,0,397323332
229,South Africa,1987,0,105825534,-105825534
230,South Africa,1988,0,110849,-110849
231,South Africa,1989,0,320399942,-320399942
232,South Africa,1990,0,271828896,-271828896
233,South Africa,1991,0,64650922,-64650922
234,South Africa,1992,0,234490451,-234490451
235,South Africa,1993,0,541955585,-541955585
236,South Africa,1994,0,516230795,-516230795
237,South Africa,1995,0,626257607,-626257607
238,South Africa,1996,0,974078843,-974078843
239,South Africa,1997,0,694290770,-694290770
240,South Africa,1998,0,666789364,-666789364
241,South Africa,1999,0,669943614,-669943614
242,South Africa,2000,0,737221627,-737221627
243,South Africa,2001,0,935444476,-935444476
244,South Africa,2002,0,644990736,-644990736
245,South Africa,2003,0,608581390,-608581390
246,South Africa,2004,0,540700003,-540700003
247,South Africa,2005,0,927379768,-927379768
248,South Africa,2006,0,853103554,-853103554
249,South Africa,2007,0,1070653291,-1070653291
250,South Africa,2008,0,1148281785,-1148281785
251,South Africa,2009,0,1281799284,-1281799284
252,South Africa,2010,0,971208512,-971208512
253,South Africa,2011,0,943390545,-943390545
254,South Africa,2012,0,955734671,-955734671
255,South Africa,2013,0,1350212256,-1350212256
256,Chile,1973,0,88056078,-88056078
257,Chile,1974,0,257689227,-257689227
258,Chile,1975,0,365408442,-365408442
259,Chile,1976,0,155551297,-155551297
260,Chile,1977,0,2568149,-2568149
261,Chile,1978,0,4418418,-4418418
262,Chile,1979,0,49451759,-49451759
263,Chile,1980,0,17218386,-17218386
264,Chile,1981,0,24802202,-24802202
265,Chile,1982,0,25718071,-25718071
266,Chile,1983,0,33869655,-33869655
267,Chile,1984,0,314012953,-314012953
268,Chile,1985,0,624811340,-624811340
269,Chile,1986,0,123522992,-123522992
270,Chile,1987,0,62625327,-62625327
271,Chile,1988,0,73331550,-73331550
272,Chile,1989,0,152229260,-152229260
273,Chile,1990,0,260281186,-260281186
274,Chile,1991,0,575859750,-575859750
275,Chile,1992,0,686092378,-686092378
276,Chile,1993,0,246885634,-246885634
277,Chile,1994,0,98616016,-98616016
278,Chile,1995,0,326285394,-326285394
279,Chile,1996,0,66195930,-66195930
280,Chile,1997,0,180051006,-180051006
281,Chile,1998,0,279286896,-279286896
282,Chile,1999,0,312658747,-312658747
283,Chile,2000,0,143596162,-143596162
284,Chile,2001,0,290131143,-290131143
285,Chile,2002,117867,118858994,-118741127
286,Chile,2003,32051,74584206,-74552155
287,Chile,2004,37923,86004680,-85966757
288,Chile,2005,49967,73415885,-73365918
289,Chile,2006,129055,53907751,-53778696
290,Chile,2007,56833,114940960,-114884127
291,Chile,2008,10280,275383474,-275373194
292,Chile,2009,40764,136810686,-136769922
293,Chile,2010,89609,120087929,-119998320
294,Chile,2011,0,63814172,-63814172
295,Chile,2012,0,72801720,-72801720
296,Chile,2013,0,302293325,-302293325
297,Kuwait,1973,0,325483,-325483
298,Kuwait,1976,206494798,0,206494798
299,Kuwait,1977,86642765,0,86642765
300,Kuwait,1978,103885863,0,103885863
301,Kuwait,1979,59307807,0,59307807
302,Kuwait,1980,23153412,0,23153412
303,Kuwait,1981,298564124,78425,298485699
304,Kuwait,1982,181627819,0,181627819
305,Kuwait,1983,154970641,0,154970641
306,Kuwait,1984,27051193,0,27051193
307,Kuwait,1985,0,524410,-524410
308,Kuwait,1986,84167688,0,84167688
309,Kuwait,1988,43914563,30421288,13493275
310,Kuwait,1989,43493083,0,43493083
311,Kuwait,1990,0,1568,-1568
312,Kuwait,1991,0,10244282,-10244282
313,Kuwait,1992,6635123,7406838194,-7400203071
314,Kuwait,1993,25461230,0,25461230
315,Kuwait,1994,0,6860796,-6860796
316,Kuwait,1995,0,302540263,-302540263
317,Kuwait,1996,21381183,612124,20769059
318,Kuwait,1997,0,530951,-530951
319,Kuwait,1998,1107033,733164,373869
320,Kuwait,1999,0,868779,-868779
321,Kuwait,2000,0,959746,-959746
322,Kuwait,2001,1219994,4044688,-2824694
323,Kuwait,2002,0,3038480,-3038480
324,Kuwait,2003,0,819946,-819946
325,Kuwait,2004,0,2097489,-2097489
326,Romania,1980,0,44381441,-44381441
327,Romania,1981,0,262077414,-262077414
328,Romania,1989,0,5092048,-5092048
329,Romania,1990,0,299897,-299897
330,Romania,1991,0,2904763,-2904763
331,Romania,1992,0,174756620,-174756620
332,Romania,1993,0,92433527,-92433527
333,Romania,1994,0,47195859,-47195859
334,Romania,1995,0,189810215,-189810215
335,Romania,1996,0,240362515,-240362515
336,Romania,1997,0,168028130,-168028130
337,Romania,1998,0,339859562,-339859562
338,Romania,1999,0,222375326,-222375326
339,Romania,2000,0,223359836,-223359836
340,Romania,2001,0,636869083,-636869083
341,Romania,2002,0,277336395,-277336395
342,Romania,2003,0,202807923,-202807923
343,Romania,2004,0,198721214,-198721214
344,Romania,2005,0,278521,-278521
345,Romania,2007,0,97380,-97380
346,Romania,2008,0,12192,-12192
347,Taiwan,1974,0,115048,-115048
348,Taiwan,1977,0,163198,-163198
349,Taiwan,1980,0,374058844,-374058844
350,Taiwan,1981,0,312886996,-312886996
351,Taiwan,1982,0,617069786,-617069786
352,Taiwan,1983,0,54105626,-54105626
353,Taiwan,1984,0,247894043,-247894043
354,Taiwan,1985,0,28782961,-28782961
355,Taiwan,1986,0,21795291,-21795291
356,Taiwan,1987,0,14965414,-14965414
357,Taiwan,1988,0,29459009,-29459009
358,Taiwan,1989,0,75026666,-75026666
359,Taiwan,1991,0,5446049,-5446049
360,Taiwan,1994,45628882,2655902,42972980
361,Taiwan,1995,0,2561779,-2561779
362,Taiwan,1996,0,9333721,-9333721
363,Taiwan,1997,0,2454079,-2454079
364,Taiwan,1998,0,876129,-876129
365,Taiwan,1999,30163151,603873086,-573709935
366,Taiwan,2000,0,779075653,-779075653
367,Taiwan,2001,0,13689330,-13689330
368,Taiwan,2002,0,170259619,-170259619
369,Taiwan,2003,0,15103689,-15103689
370,Taiwan,2004,0,17888290,-17888290
371,Taiwan,2006,6324571,0,6324571
372,Taiwan,2007,375139,0,375139
373,Taiwan,2008,348667,0,348667
374,Taiwan,2009,327156,14202,312954
375,Taiwan,2010,287807,0,287807
376,Taiwan,2011,282125,0,282125
377,Saudi Arabia,1973,0,65097,-65097
378,Saudi Arabia,1977,540365522,0,540365522
379,Saudi Arabia,1978,251262679,622892,250639787
380,Saudi Arabia,1979,0,12014220,-12014220
381,Saudi Arabia,1980,112421249,120375527,-7954278
382,Saudi Arabia,1981,131496682,409548081,-278051399
383,Saudi Arabia,1982,0,197083911,-197083911
384,Saudi Arabia,1983,79371799,206745775,-127373976
385,Saudi Arabia,1984,346714096,59201063,287513033
386,Saudi Arabia,1985,128074768,35529584,92545184
387,Saudi Arabia,1986,35996220,36516861,-520641
388,Saudi Arabia,1987,72707674,0,72707674
389,Saudi Arabia,1988,0,42431775,-42431775
390,Saudi Arabia,1991,0,89458009,-89458009
391,Saudi Arabia,1992,0,148479604,-148479604
392,Saudi Arabia,1994,0,5682814,-5682814
393,Saudi Arabia,1995,0,7397882,-7397882
394,Saudi Arabia,1996,0,2409008,-2409008
395,Saudi Arabia,1997,0,2120366,-2120366
396,Saudi Arabia,1998,0,1348961,-1348961
397,Saudi Arabia,1999,0,2722986716,-2722986716
398,Saudi Arabia,2000,0,707503988,-707503988
399,Saudi Arabia,2001,0,5047242,-5047242
400,Saudi Arabia,2002,0,2651835,-2651835
401,Saudi Arabia,2003,0,8735630,-8735630
402,Saudi Arabia,2004,0,12603354,-12603354
403,Saudi Arabia,2005,0,9206877,-9206877
404,Saudi Arabia,2006,0,14209342,-14209342
405,Saudi Arabia,2007,0,16462193,-16462193
406,Saudi Arabia,2008,0,348667,-348667
407,Saudi Arabia,2009,0,327156,-327156
408,Saudi Arabia,2010,0,352548,-352548
409,Saudi Arabia,2011,0,282125,-282125
410,Hungary,1985,0,31296368,-31296368
411,Hungary,1989,0,1482250,-1482250
412,Hungary,1990,0,315616677,-315616677
413,Hungary,1991,0,624227866,-624227866
414,Hungary,1992,0,179864578,-179864578
415,Hungary,1993,0,322532354,-322532354
416,Hungary,1994,0,393976481,-393976481
417,Hungary,1995,0,330369147,-330369147
418,Hungary,1996,0,349275403,-349275403
419,Hungary,1997,0,53047029,-53047029
420,Hungary,1998,0,27853171,-27853171
421,Hungary,1999,0,26274654,-26274654
422,Hungary,2000,0,29607289,-29607289
423,Hungary,2001,0,71227382,-71227382
424,Hungary,2002,0,46184177,-46184177
425,Hungary,2003,0,68595560,-68595560
426,Hungary,2004,0,53861240,-53861240
427,Hungary,2005,254145,0,254145
428,Hungary,2007,2747,21733,-18986
429,Hungary,2008,67660,0,67660
430,Hungary,2010,0,14132,-14132
431,Czech Republic,1990,0,549039,-549039
432,Czech Republic,1991,0,392264026,-392264026
433,Czech Republic,1992,0,212986243,-212986243
434,Czech Republic,1993,0,170159661,-170159661
435,Czech Republic,1994,0,487593167,-487593167
436,Czech Republic,1995,0,182015721,-182015721
437,Czech Republic,1996,4724939,35124917,-30399978
438,Czech Republic,1997,1151600,99553819,-98402219
439,Czech Republic,1998,0,120505911,-120505911
440,Czech Republic,1999,0,82522618,-82522618
441,Czech Republic,2000,0,145892164,-145892164
442,Czech Republic,2001,530941,65382378,-64851437
443,Czech Republic,2002,156771,60471458,-60314687
444,Czech Republic,2003,247942,45608312,-45360370
445,Czech Republic,2004,0,41237106,-41237106
446,Czech Republic,2005,119901,46801,73100
447,Czech Republic,2006,918070,0,918070
448,Czech Republic,2008,230219,0,230219
449,Czech Republic,2009,397563,0,397563
450,Czech Republic,2011,164099,0,164099
451,Czech Republic,2012,165238,0,165238
452,Czech Republic,2013,123152,0,123152
453,Cyprus,1973,0,9613414,-9613414
454,Cyprus,1974,0,16432279,-16432279
455,Cyprus,1975,0,5864941,-5864941
456,Cyprus,1976,0,31022257,-31022257
457,Cyprus,1977,0,20945184,-20945184
458,Cyprus,1978,0,46647,-46647
459,Cyprus,1979,0,15837039,-15837039
460,Cyprus,1980,0,87110643,-87110643
461,Cyprus,1981,0,110234644,-110234644
462,Cyprus,1982,0,31348629,-31348629
463,Cyprus,1983,0,51405078,-51405078
464,Cyprus,1984,0,79282641,-79282641
465,Cyprus,1985,0,39214175,-39214175
466,Cyprus,1986,0,56716357,-56716357
467,Cyprus,1987,0,29088415,-29088415
468,Cyprus,1988,0,60836704,-60836704
469,Cyprus,1989,0,32612810,-32612810
470,Cyprus,1990,0,11768247,-11768247
471,Cyprus,1991,0,24108788,-24108788
472,Cyprus,1992,0,29261936,-29261936
473,Cyprus,1993,0,42046495,-42046495
474,Cyprus,1994,0,46104382,-46104382
475,Cyprus,1995,0,1233692,-1233692
476,Cyprus,1996,0,17809922,-17809922
477,Cyprus,1997,0,9602634,-9602634
478,Cyprus,1998,0,563689,-563689
479,Cyprus,1999,0,19380977,-19380977
480,Cyprus,2000,0,5189473,-5189473
481,Cyprus,2001,0,26263860,-26263860
482,Cyprus,2002,0,23150596,-23150596
483,Cyprus,2003,0,9421124,-9421124
484,Cyprus,2004,0,24632806,-24632806
485,Cyprus,2005,5599,0,5599
486,Cyprus,2007,0,4469,-4469
487,Slovak Republic,1993,0,9121048,-9121048
488,Slovak Republic,1994,0,52553361,-52553361
489,Slovak Republic,1995,0,75586685,-75586685
490,Slovak Republic,1996,0,120767538,-120767538
491,Slovak Republic,1997,0,219387257,-219387257
492,Slovak Republic,1998,0,22763026,-22763026
493,Slovak Republic,1999,0,132187615,-132187615
494,Slovak Republic,2000,0,24767414,-24767414
495,Slovak Republic,2001,0,52945385,-52945385
496,Slovak Republic,2002,0,35860783,-35860783
497,Slovak Republic,2003,0,41479968,-41479968
498,Slovak Republic,2004,0,33775543,-33775543
499,Slovak Republic,2005,326093,0,326093
500,Slovak Republic,2009,14202,0,14202
501,Slovak Republic,2010,14132,0,14132
502,Slovak Republic,2013,41147,0,41147
503,Ireland,1980,0,30268231,-30268231
504,Ireland,1981,0,58605044,-58605044
505,Ireland,1990,0,46238132,-46238132
506,Ireland,1991,0,6065209,-6065209
507,Ireland,1999,0,174812788,-174812788
508,Ireland,2000,7976318,171345603,-163369285
509,Ireland,2001,13231961,175063408,-161831447
510,Ireland,2002,22971354,272240314,-249268960
511,Ireland,2003,27083746,0,27083746
512,Ireland,2004,23980282,0,23980282
513,Ireland,2005,28639372,0,28639372
514,Ireland,2006,28942598,0,28942598
515,Ireland,2007,28202952,0,28202952
516,Ireland,2008,34965187,0,34965187
517,Ireland,2009,21707708,0,21707708
518,Ireland,2010,15971582,0,15971582
519,Ireland,2011,16164777,0,16164777
520,Ireland,2012,14021437,0,14021437
521,Ireland,2013,11285184,0,11285184
522,Qatar,1988,0,9137956,-9137956
523,Qatar,1989,0,2949100,-2949100
524,Qatar,1993,0,9564499,-9564499
525,Qatar,1994,0,1252342,-1252342
526,Qatar,1995,0,346430,-346430
527,Qatar,1996,0,836714,-836714
528,Qatar,1997,0,705173409,-705173409
529,Qatar,1998,0,582329,-582329
530,Qatar,1999,0,491169,-491169
531,Qatar,2000,0,673904,-673904
532,Qatar,2001,0,771977,-771977
533,Qatar,2002,0,220245,-220245
534,Qatar,2003,0,324759,-324759
535,Qatar,2004,0,1458916,-1458916
536,Qatar,2007,104519053,0,104519053
537,Lithuania,1991,0,455029,-455029
538,Lithuania,1992,0,8257205,-8257205
539,Lithuania,1993,0,73709134,-73709134
540,Lithuania,1994,0,28739967,-28739967
541,Lithuania,1995,0,83881095,-83881095
542,Lithuania,1996,0,89026730,-89026730
543,Lithuania,1997,0,20435390,-20435390
544,Lithuania,1998,0,61227246,-61227246
545,Lithuania,1999,0,12053667,-12053667
546,Lithuania,2000,0,16836580,-16836580
547,Lithuania,2001,0,30635613,-30635613
548,Lithuania,2002,0,25362242,-25362242
549,Lithuania,2003,0,33181470,-33181470
550,Lithuania,2004,0,30341902,-30341902
551,Greece,1980,0,115371982,-115371982
552,Greece,1981,0,26046686,-26046686
553,Greece,1985,0,36819257,-36819257
554,Greece,1988,0,37727914,-37727914
555,Greece,1991,0,303412067,-303412067
556,Greece,2002,3051811,0,3051811
557,Greece,2003,9823209,0,9823209
558,Greece,2004,875060,0,875060
559,Greece,2005,3084323,0,3084323
560,Greece,2006,2803352,0,2803352
561,Greece,2007,3082200,0,3082200
562,Greece,2008,2542149,0,2542149
563,Greece,2009,2070017,0,2070017
564,Greece,2010,2151692,0,2151692
565,Greece,2011,1740617,0,1740617
566,Greece,2012,1220624,0,1220624
567,Greece,2013,222131,0,222131
568,Luxembourg,1993,0,415719806,-415719806
569,Luxembourg,2001,4867259,0,4867259
570,Luxembourg,2002,9896164,139320026,-129423862
571,Luxembourg,2003,830472,0,830472
572,Luxembourg,2004,10034092,0,10034092
573,Luxembourg,2005,13121625,0,13121625
574,Luxembourg,2006,9045047,0,9045047
575,Luxembourg,2007,8883735,0,8883735
576,Luxembourg,2008,9669591,0,9669591
577,Luxembourg,2009,9324881,0,9324881
578,Luxembourg,2010,9812280,0,9812280
579,Luxembourg,2011,9920871,0,9920871
580,Luxembourg,2012,8502699,0,8502699
581,Luxembourg,2013,7645306,0,7645306
582,Latvia,1990,0,543060,-543060
583,Latvia,1991,0,398476,-398476
584,Latvia,1992,0,106443347,-106443347
585,Latvia,1993,0,52648796,-52648796
586,Latvia,1994,0,28380386,-28380386
587,Latvia,1995,0,39008900,-39008900
588,Latvia,1996,0,25044880,-25044880
589,Latvia,1997,0,22485213,-22485213
590,Latvia,1998,0,46078691,-46078691
591,Latvia,1999,0,10570801,-10570801
592,Latvia,2000,0,14205663,-14205663
593,Latvia,2001,0,22714406,-22714406
594,Latvia,2002,0,23562554,-23562554
595,Latvia,2003,0,15787761,-15787761
596,Latvia,2004,0,15622106,-15622106
597,Estonia,1991,0,990684,-990684
598,Estonia,1992,0,16023398,-16023398
599,Estonia,1993,0,38337840,-38337840
600,Estonia,1994,0,25652518,-25652518
601,Estonia,1995,0,18418713,-18418713
602,Estonia,1996,0,30942970,-30942970
603,Estonia,1997,0,8307811,-8307811
604,Estonia,1998,0,20250742,-20250742
605,Estonia,1999,0,9201870,-9201870
606,Estonia,2000,0,16010329,-16010329
607,Estonia,2001,184731,24044423,-23859692
608,Estonia,2002,94211,8104097,-8009886
609,Estonia,2003,0,15925093,-15925093
610,Estonia,2004,0,19139015,-19139015
611,United Arab Emirates,1973,0,65097,-65097
612,United Arab Emirates,1976,64911546,0,64911546
613,United Arab Emirates,1977,0,3599299,-3599299
614,United Arab Emirates,1980,0,174742,-174742
615,United Arab Emirates,1981,0,1813286,-1813286
616,United Arab Emirates,1982,0,936588,-936588
617,United Arab Emirates,1983,0,598545,-598545
618,United Arab Emirates,1984,0,505928,-505928
619,United Arab Emirates,1985,0,136260119,-136260119
620,United Arab Emirates,1987,0,131760270,-131760270
621,United Arab Emirates,1994,0,9485289,-9485289
622,United Arab Emirates,1995,0,1579978,-1579978
623,United Arab Emirates,1996,0,1038083,-1038083
624,United Arab Emirates,1997,0,1002901,-1002901
625,United Arab Emirates,1998,0,461121,-461121
626,United Arab Emirates,1999,0,595520,-595520
627,United Arab Emirates,2000,0,628944,-628944
628,United Arab Emirates,2001,0,2140111,-2140111
629,United Arab Emirates,2002,0,1783343,-1783343
630,United Arab Emirates,2003,0,2325618,-2325618
631,United Arab Emirates,2004,0,3451690,-3451690
632,United Arab Emirates,2010,1109303,0,1109303
633,United Arab Emirates,2011,590706,0,590706
634,United Arab Emirates,2012,1025431,0,1025431
635,Slovenia,1992,0,10624910,-10624910
636,Slovenia,1993,0,2609520,-2609520
637,Slovenia,1994,0,12375582,-12375582
638,Slovenia,1995,0,7405043,-7405043
639,Slovenia,1996,0,90121406,-90121406
640,Slovenia,1997,0,7858148,-7858148
641,Slovenia,1998,0,8484412,-8484412
642,Slovenia,1999,0,12831539,-12831539
643,Slovenia,2000,0,32556545,-32556545
644,Slovenia,2001,0,13913044,-13913044
645,Slovenia,2002,0,7663650,-7663650
646,Slovenia,2003,0,6291746,-6291746
647,Slovenia,2004,0,12414136,-12414136
648,Slovenia,2006,0,74572,-74572
649,Slovenia,2007,0,105426,-105426
650,Slovenia,2008,0,105521,-105521
651,Slovenia,2010,135720,0,135720
652,Slovenia,2013,14308,0,14308
653,New Zealand,1980,0,11703716,-11703716
